"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","oneri"
"ai_behavioral_analyses","id","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"ai_behavioral_analyses","entity_type","character varying",50,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","entity_id","character varying",255,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","analysis_date","timestamp with time zone",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","risk_score","integer",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","anomaly_level","character varying",20,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","ai_explanation","text",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","ai_recommendation","text",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","reference_incident_ids","text",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","analysis_metadata","text",NULL,"NO",NULL,"✅ OK"
"ai_behavioral_analyses","created_at","timestamp with time zone",NULL,"NO","CURRENT_TIMESTAMP","✅ OK"
"anomaly_detections","id","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"anomaly_detections","user_email","character varying",255,"NO",NULL,"✅ OK"
"anomaly_detections","metric_type","character varying",50,"NO",NULL,"✅ OK"
"anomaly_detections","current_value","double precision",NULL,"NO",NULL,"✅ OK"
"anomaly_detections","baseline_mean","double precision",NULL,"NO",NULL,"✅ OK"
"anomaly_detections","baseline_std_dev","double precision",NULL,"NO",NULL,"✅ OK"
"anomaly_detections","anomaly_score","double precision",NULL,"NO",NULL,"✅ OK"
"anomaly_detections","severity","character varying",20,"NO",NULL,"✅ OK"
"anomaly_detections","timestamp","timestamp with time zone",NULL,"NO",NULL,"✅ OK"
"audit_logs","id","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"audit_logs","timestamp","timestamp with time zone",NULL,"NO",NULL,"✅ OK"
"audit_logs","event_type","character varying",50,"NO",NULL,"✅ OK"
"audit_logs","user_name","character varying",100,"NO",NULL,"✅ OK"
"audit_logs","user_role","character varying",50,"YES",NULL,"✅ OK"
"audit_logs","action","character varying",200,"NO",NULL,"✅ OK"
"audit_logs","resource","character varying",255,"YES",NULL,"✅ OK"
"audit_logs","details","text",NULL,"YES",NULL,"✅ OK"
"audit_logs","ip_address","character varying",45,"YES",NULL,"✅ OK"
"audit_logs","user_agent","character varying",500,"YES",NULL,"✅ OK"
"audit_logs","success","boolean",NULL,"NO",NULL,"✅ OK"
"audit_logs","error_message","text",NULL,"YES",NULL,"✅ OK"
"audit_logs","status_code","integer",NULL,"YES",NULL,"✅ OK"
"audit_logs","duration_ms","bigint",NULL,"YES",NULL,"✅ OK"
"daily_summaries","Id","integer",NULL,"NO",NULL,"✅ OK"
"daily_summaries","date","date",NULL,"NO",NULL,"✅ OK"
"daily_summaries","total_incidents","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"daily_summaries","high_risk_count","integer",NULL,"NO",NULL,"✅ OK"
"daily_summaries","avg_risk_score","double precision",NULL,"NO",NULL,"✅ OK"
"daily_summaries","unique_users","integer",NULL,"NO",NULL,"✅ OK"
"daily_summaries","departments_affected","integer",NULL,"NO",NULL,"✅ OK"
"department_summaries","Id","integer",NULL,"NO",NULL,"✅ OK"
"department_summaries","department","text",NULL,"NO",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"department_summaries","total_incidents","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"department_summaries","high_risk_count","integer",NULL,"NO",NULL,"✅ OK"
"department_summaries","avg_risk_score","double precision",NULL,"NO",NULL,"✅ OK"
"department_summaries","unique_users","integer",NULL,"NO",NULL,"✅ OK"
"department_summaries","date","date",NULL,"YES",NULL,"✅ OK"
"incidents","id","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"incidents","timestamp","timestamp with time zone",NULL,"NO",NULL,"✅ OK"
"incidents","user_email","text",NULL,"NO",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"incidents","department","text",NULL,"YES",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"incidents","severity","integer",NULL,"NO",NULL,"✅ OK"
"incidents","data_type","text",NULL,"YES",NULL,"✅ OK"
"incidents","policy","text",NULL,"YES",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"incidents","channel","text",NULL,"YES",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"incidents","risk_score","integer",NULL,"YES",NULL,"✅ OK"
"incidents","repeat_count","integer",NULL,"NO","0","✅ OK"
"incidents","data_sensitivity","integer",NULL,"NO","0","✅ OK"
"incidents","RiskLevel","text",NULL,"YES",NULL,"✅ OK"
"incidents","RecommendedAction","text",NULL,"YES",NULL,"✅ OK"
"incidents","IOBs","ARRAY",NULL,"YES",NULL,"✅ OK"
"incidents","action","character varying",50,"YES",NULL,"✅ OK"
"incidents","destination","text",NULL,"YES",NULL,"✅ OK"
"incidents","file_name","text",NULL,"YES",NULL,"✅ OK"
"incidents","login_name","character varying",255,"YES",NULL,"✅ OK"
"incidents","email_address","character varying",255,"YES",NULL,"✅ OK"
"incidents","violation_triggers","text",NULL,"YES",NULL,"✅ OK"
"incidents","max_matches","integer",NULL,"YES","0","✅ OK"
"incidents","is_remediated","boolean",NULL,"YES","false","✅ OK"
"incidents","remediated_at","timestamp without time zone",NULL,"YES",NULL,"✅ OK"
"incidents","remediated_by","character varying",255,"YES",NULL,"✅ OK"
"incidents","remediation_action","character varying",50,"YES",NULL,"✅ OK"
"incidents","remediation_notes","text",NULL,"YES",NULL,"✅ OK"
"incidents","full_name","text",NULL,"YES",NULL,"✅ OK"
"incidents","team","text",NULL,"YES",NULL,"✅ OK"
"incidents","rule_name","text",NULL,"YES",NULL,"✅ OK"
"incidents","host_name","text",NULL,"YES",NULL,"✅ OK"
"system_settings","key","character varying",100,"NO",NULL,"✅ OK"
"system_settings","value","text",NULL,"NO",NULL,"✅ OK"
"system_settings","updated_at","timestamp with time zone",NULL,"NO","CURRENT_TIMESTAMP","✅ OK"
"user_risk_trends","Id","integer",NULL,"NO",NULL,"✅ OK"
"user_risk_trends","user_email","text",NULL,"NO",NULL,"💡 VARCHAR(255) daha güvenli olabilir"
"user_risk_trends","date","date",NULL,"NO",NULL,"✅ OK"
"user_risk_trends","total_incidents","integer",NULL,"NO",NULL,"⚠️ BIGINT gerekebilir"
"user_risk_trends","risk_score","integer",NULL,"NO",NULL,"✅ OK"
"user_risk_trends","trend_direction","text",NULL,"NO",NULL,"✅ OK"
