"tablo","index_adi","kullanim_sayisi","index_boyutu","durum"
"public.user_daily_risk_scores","idx_user_daily_scores_email","0","1712 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.daily_summaries","PK_daily_summaries","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.department_summaries","PK_department_summaries","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.policy_rule_exceptions","idx_pre_rule_name","0","40 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.released_incidents","idx_released_incidents_incident_timestamp","0","120 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.__EFMigrationsHistory","PK___EFMigrationsHistory","0","16 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.released_incidents","uq_released_incident","0","160 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.ai_behavioral_analyses","PK_ai_behavioral_analyses","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.ai_behavioral_analyses","IX_ai_behavioral_analyses_analysis_date","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.ai_behavioral_analyses","IX_ai_behavioral_analyses_anomaly_level","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.ai_behavioral_analyses","IX_ai_behavioral_analyses_entity_type_entity_id","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.user_daily_risk_scores","idx_user_daily_risk_scores_user_email","0","1712 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.anomaly_detections","PK_anomaly_detections","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.anomaly_detections","IX_anomaly_detections_user_email","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.anomaly_detections","IX_anomaly_detections_timestamp","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.anomaly_detections","IX_anomaly_detections_severity","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.anomaly_detections","IX_anomaly_detections_user_email_timestamp","0","8192 bytes","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.raw_dlp_data","idx_raw_dlp_source","0","1512 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.raw_dlp_data","raw_dlp_data_pkey","0","232 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.nda_domains","idx_nda_domains_domain","0","248 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.nda_domains","idx_nda_domains_is_unknown","0","64 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.user_daily_risk_scores","idx_user_daily_scores_date","0","1888 kB","🔴 HİÇ KULLANILMAMIŞ - silinebilir"
"public.user_risk_trends","PK_user_risk_trends","1","8192 bytes","🟡 Az kullanılıyor"
"public.domain_feature_values","domain_feature_values_pkey","2","16 kB","🟡 Az kullanılıyor"
"public.domain_feature_definitions","domain_feature_definitions_key_name_key","2","16 kB","🟡 Az kullanılıyor"
"public.audit_logs","PK_audit_logs","2","896 kB","🟡 Az kullanılıyor"
"public.incidents","idx_incidents_is_remediated","3","6432 kB","🟡 Az kullanılıyor"
"public.domain_feature_values","domain_feature_values_domain_id_feature_id_key","3","16 kB","🟡 Az kullanılıyor"
"public.released_incidents","released_incidents_pkey","4","80 kB","🟡 Az kullanılıyor"
"public.domain_feature_values","idx_domain_feature_values_feature","5","16 kB","🟡 Az kullanılıyor"
"public.audit_logs","IX_audit_logs_user_name","7","416 kB","🟡 Az kullanılıyor"
"public.ai_explanations","exp_pkey","8","40 kB","🟡 Az kullanılıyor"
"public.domain_feature_definitions","domain_feature_definitions_pkey","10","16 kB","✅ Aktif"
"public.nda_domains","idx_nda_domains_is_personal","14","64 kB","✅ Aktif"
"public.released_incidents","idx_released_incidents_admin_name","16","48 kB","✅ Aktif"
"public.audit_logs","IX_audit_logs_timestamp","22","912 kB","✅ Aktif"
"public.nda_domains","nda_domains_pkey","24","144 kB","✅ Aktif"
"public.nda_domains","idx_nda_domains_has_nda","30","64 kB","✅ Aktif"
"public.incidents","IX_incidents_risk_score","80","7216 kB","✅ Aktif"
"public.released_incidents","idx_released_incidents_incident_id","83","120 kB","✅ Aktif"
"public.audit_logs","IX_audit_logs_timestamp_event_type","104","1480 kB","✅ Aktif"
"public.audit_logs","IX_audit_logs_event_type","192","448 kB","✅ Aktif"
"public.policy_rule_exceptions","idx_pre_exception_name","431","40 kB","✅ Aktif"
"public.domain_feature_values","idx_domain_feature_values_domain","1030","16 kB","✅ Aktif"
"public.incidents","idx_incidents_action","1127","7248 kB","✅ Aktif"
"public.incidents","IX_incidents_department","1580","6344 kB","✅ Aktif"
"public.user_daily_risk_scores","user_daily_risk_scores_pkey","1715","2936 kB","✅ Aktif"
"public.policy_rule_exceptions","policy_rule_exceptions_pkey","1881","64 kB","✅ Aktif"
"public.user_daily_risk_scores","idx_user_daily_risk_scores_date","2157","1888 kB","✅ Aktif"
"public.incidents","idx_incidents_risk_score","2365","7144 kB","✅ Aktif"
"public.released_incidents","idx_released_incidents_update_time","2676","104 kB","✅ Aktif"
"public.nda_domains","nda_domains_domain_key","4991","248 kB","✅ Aktif"
"public.policy_rule_exceptions","policy_rule_exceptions_policy_name_rule_name_exception_name_key","18230","96 kB","✅ Aktif"
"public.incidents","IX_incidents_user_email","29668","5416 kB","✅ Aktif"
"public.user_daily_risk_scores","idx_user_daily_scores_email_date","32769","4368 kB","✅ Aktif"
"public.incidents","IX_incidents_timestamp","41977","12 MB","✅ Aktif"
"public.incidents","idx_incidents_department","99955","6328 kB","✅ Aktif"
"public.user_daily_risk_scores","unique_user_date","292623","4368 kB","✅ Aktif"
"public.incidents","idx_incidents_user_email","646686","5328 kB","✅ Aktif"
"public.system_settings","PK_system_settings","646976","16 kB","✅ Aktif"
"public.incidents","PK_incidents","4083742","10 MB","✅ Aktif"
"public.incidents","idx_incidents_timestamp","5096850","12 MB","✅ Aktif"
