"tablo","seq_scan_sayisi","okunan_satir","index_scan_sayisi","oneri"
"public.incidents","592888","11149859409","10004033","✅ OK"
"public.system_settings","342049","6487205","646976","✅ OK"
"public.policy_rule_exceptions","1215","568700","20542","✅ OK"
"public.__EFMigrationsHistory","683","2043","0","✅ OK"
"public.nda_domains","539","2609234","5059","✅ OK"
"public.domain_feature_definitions","367","154","12","✅ OK"
"public.domain_feature_values","363","108","1040","✅ OK"
"public.user_daily_risk_scores","315","17728285","329264","✅ OK"
"public.released_incidents","232","54554","2779","✅ OK"
"public.ai_explanations","106","42837","8","⚠️ SEQ SCAN çok fazla - index eklenmeli"
"public.audit_logs","104","1876512","327","✅ OK"
"public.anomaly_detections","46","0","0","✅ OK"
"public.ai_behavioral_analyses","45","0","0","✅ OK"
"public.department_summaries","42","0","0","✅ OK"
"public.user_risk_trends","42","0","1","✅ OK"
"public.daily_summaries","42","0","0","✅ OK"
"public.raw_dlp_data","27","60272","0","⚠️ SEQ SCAN çok fazla - index eklenmeli"
