"tablo","last_vacuum","last_autovacuum","last_analyze","last_autoanalyze","olmus_satirlar","canli_satirlar","durum"
"public.incidents",NULL,"2026-02-11 15:11:00.548268+03",NULL,"2026-02-11 15:11:03.384619+03","2628","179245","✅ OK"
"public.user_daily_risk_scores",NULL,"2026-02-04 14:19:29.557456+03",NULL,"2026-02-10 19:44:29.194453+03","1193","68369","✅ OK"
"public.system_settings",NULL,"2025-12-11 16:16:05.020258+03",NULL,"2026-01-19 11:50:14.219946+03","24","19","🔴 VACUUM gerekli!"
"public.nda_domains",NULL,"2026-01-23 15:53:55.006298+03",NULL,"2026-01-23 15:53:55.059019+03","8","5126","✅ OK"
"public.domain_feature_definitions",NULL,NULL,NULL,NULL,"2","0","🔴 VACUUM gerekli!"
"public.domain_feature_values",NULL,NULL,NULL,NULL,"1","0","🔴 VACUUM gerekli!"
"public.department_summaries",NULL,NULL,NULL,NULL,"0","0","✅ OK"
"public.raw_dlp_data",NULL,"2026-01-30 11:24:35.10779+03",NULL,"2026-01-30 11:24:35.148006+03","0","1334","✅ OK"
"public.anomaly_detections",NULL,NULL,NULL,NULL,"0","0","✅ OK"
"public.released_incidents",NULL,"2026-02-06 13:34:35.739395+03",NULL,"2026-02-06 13:34:35.771178+03","0","2616","✅ OK"
"public.policy_rule_exceptions",NULL,"2026-02-11 15:28:26.847985+03",NULL,"2026-02-11 15:28:26.859916+03","0","470","✅ OK"
"public.ai_behavioral_analyses",NULL,NULL,NULL,NULL,"0","0","✅ OK"
"public.user_risk_trends",NULL,NULL,NULL,NULL,"0","0","✅ OK"
"public.ai_explanations",NULL,"2026-02-03 10:59:27.395478+03",NULL,"2026-02-03 10:59:27.429788+03","0","1001","✅ OK"
"public.__EFMigrationsHistory",NULL,NULL,NULL,NULL,"0","3","✅ OK"
"public.daily_summaries",NULL,NULL,NULL,NULL,"0","0","✅ OK"
"public.audit_logs",NULL,"2026-02-06 14:07:37.846176+03",NULL,"2026-02-08 06:18:43.598963+03","0","40285","✅ OK"
