"table_name","constraint_name","constraint_type","column_name"
"__EFMigrationsHistory","PK___EFMigrationsHistory","PRIMARY KEY","MigrationId"
"ai_behavioral_analyses","PK_ai_behavioral_analyses","PRIMARY KEY","id"
"ai_explanations","exp_pkey","PRIMARY KEY","id"
"anomaly_detections","PK_anomaly_detections","PRIMARY KEY","id"
"audit_logs","PK_audit_logs","PRIMARY KEY","id"
"daily_summaries","PK_daily_summaries","PRIMARY KEY","Id"
"department_summaries","PK_department_summaries","PRIMARY KEY","Id"
"domain_feature_definitions","domain_feature_definitions_pkey","PRIMARY KEY","id"
"domain_feature_definitions","domain_feature_definitions_key_name_key","UNIQUE","key_name"
"domain_feature_values","domain_feature_values_feature_id_fkey","FOREIGN KEY","feature_id"
"domain_feature_values","domain_feature_values_domain_id_fkey","FOREIGN KEY","domain_id"
"domain_feature_values","domain_feature_values_pkey","PRIMARY KEY","id"
"domain_feature_values","domain_feature_values_domain_id_feature_id_key","UNIQUE","domain_id"
"domain_feature_values","domain_feature_values_domain_id_feature_id_key","UNIQUE","feature_id"
"incidents","PK_incidents","PRIMARY KEY","timestamp"
"incidents","PK_incidents","PRIMARY KEY","id"
"nda_domains","nda_domains_pkey","PRIMARY KEY","id"
"nda_domains","nda_domains_domain_key","UNIQUE","domain"
"policy_rule_exceptions","policy_rule_exceptions_pkey","PRIMARY KEY","id"
"policy_rule_exceptions","policy_rule_exceptions_policy_name_rule_name_exception_name_key","UNIQUE","exception_name"
"policy_rule_exceptions","policy_rule_exceptions_policy_name_rule_name_exception_name_key","UNIQUE","policy_name"
"policy_rule_exceptions","policy_rule_exceptions_policy_name_rule_name_exception_name_key","UNIQUE","rule_name"
"raw_dlp_data","raw_dlp_data_pkey","PRIMARY KEY","id"
"released_incidents","released_incidents_pkey","PRIMARY KEY","id"
"released_incidents","uq_released_incident","UNIQUE","update_time"
"released_incidents","uq_released_incident","UNIQUE","incident_id"
"system_settings","PK_system_settings","PRIMARY KEY","key"
"user_daily_risk_scores","user_daily_risk_scores_pkey","PRIMARY KEY","id"
"user_daily_risk_scores","unique_user_date","UNIQUE","date"
"user_daily_risk_scores","unique_user_date","UNIQUE","user_email"
"user_risk_trends","PK_user_risk_trends","PRIMARY KEY","Id"
